latitude,longitude,blk_no,road_name,postal_code,address,cbd_dist,min_dist_mrt
1.3692077999999999,103.85039863467846,,Ang Mo Kio Avenue 3,560424,174 ANG MO KIO AVE 4,9532.944138244517,1632.207222701789
1.3739835500000002,103.85559074965985,541,Ang Mo Kio Avenue 10,560541,541 ANG MO KIO AVE 10,10071.820644683878,1579.7969112765363
1.3738461499999999,103.83858854339786,163,Ang Mo Kio Avenue 4,560163,163 ANG MO KIO AVE 4,10144.423617468348,1159.6376654083567
1.3677793999999999,103.85533443841078,446,Ang Mo Kio Avenue 10,560446,446 ANG MO KIO AVE 10,9385.217268673317,2051.015639533646
1.37165465,103.85775588826617,557,Ang Mo Kio Avenue 10,560557,557 ANG MO KIO AVE 10,9829.270327480213,1928.355483219778
1.3801792,103.83575158255286,603,Ang Mo Kio Avenue 5,560603,603 ANG MO KIO AVE 5,10884.008991673305,987.6834555964115
1.37109375,103.84766290778387,709,Ang Mo Kio Avenue 8,560709,709 ANG MO KIO AVE 8,9749.361310552875,1329.3991191738064
1.3613534500000002,103.85168816395225,333,Ang Mo Kio Avenue 1,560333,333 ANG MO KIO AVE 1,8664.030020889622,1794.0557118224976
1.3692077999999999,103.85039863467846,,Ang Mo Kio Avenue 3,560424,109 ANG MO KIO AVE 4,9532.944138244517,1632.207222701789
1.3698918500000001,103.85943216489414,564,Ang Mo Kio Avenue 3,560564,564 ANG MO KIO AVE 3,9650.585347778924,2100.3890852689037
1.3651411,103.84172788267786,218,Ang Mo Kio Avenue 1,560218,218 ANG MO KIO AVE 1,9144.999357179251,1954.2892971657097
1.3720322999999999,103.85760484542894,556,Ang Mo Kio Avenue 10,560556,556 ANG MO KIO AVE 10,9869.708428287886,1889.1447210753033
1.3755022499999998,103.83995684140612,156,Ang Mo Kio Avenue 4,560616,156 ANG MO KIO AVE 4,10306.03053615421,923.4539810141093
1.3635153500000001,103.8567036832668,471,Ang Mo Kio Avenue 10,560471,471 ANG MO KIO AVE 10,8923.261888079327,1581.0803558367284
1.3679009500000001,103.85345464052526,434,Ang Mo Kio Avenue 10,560434,434 ANG MO KIO AVE 10,9390.973422135987,1921.4810581743752
1.3707993,103.85919120619337,560,Ang Mo Kio Avenue 10,560560,560 ANG MO KIO AVE 10,9748.036389761724,2112.1916945797566
1.36171605,103.85190354303359,332,Ang Mo Kio Avenue 1,560332,332 ANG MO KIO AVE 1,8704.275948466237,1799.5380224473972
1.36537865,103.8529306320964,421,Ang Mo Kio Avenue 10,560421,421 ANG MO KIO AVE 10,9110.81593677291,1999.3000011433664
1.3744109,103.84894612027112,506,Ang Mo Kio Avenue 8,560506,506 ANG MO KIO AVE 8,10111.14274133517,1045.970530108213
1.37956265,103.84075847796646,631,Ang Mo Kio Street 61,560632,631 ANG MO KIO AVE 4,10741.659276197324,518.6198433416357
1.3763727000000001,103.84207419040436,153,Ang Mo Kio Avenue 5,569878,153 ANG MO KIO AVE 5,10375.60091630593,734.0358877580375
1.3656538999999999,103.85526058802556,442,Ang Mo Kio Avenue 10,560442,442 ANG MO KIO AVE 10,9150.066731852765,1866.9214127032267
1.37127495,103.8591842845461,558,Ang Mo Kio Avenue 10,560558,558 ANG MO KIO AVE 10,9800.349611561029,2079.4231381641757
1.3688114,103.84157971000224,212,Ang Mo Kio Avenue 3,560212,212 ANG MO KIO AVE 3,9550.050303192818,1557.0118900628333
1.3766775500000001,103.84016711967655,152,Ang Mo Kio Avenue 5,560616,152 ANG MO KIO AVE 5,10432.217562906426,801.8117056213855
1.3621267000000001,103.85075550126663,331,Ang Mo Kio Avenue 1,560331,331 ANG MO KIO AVE 1,8749.634211073371,1928.4023388121343
1.3699257999999999,103.8439568514047,121,Ang Mo Kio Avenue 3,560121,121 ANG MO KIO AVE 3,9646.48743103749,1404.8375575374241
1.37037985,103.8418901232265,130,Ang Mo Kio Avenue 3,560130,130 ANG MO KIO AVE 3,9718.601961980548,1380.1740075531234
1.3786507,103.8447083,,Ang Mo Kio Avenue 6,569843,646 ANG MO KIO AVE 6,10601.974418094685,442.09366546269246
1.368603,103.85082026935956,424,Ang Mo Kio Avenue 3,560424,424 ANG MO KIO AVE 3,9465.691200938098,1712.6167384846492
1.37075625,103.85349215301376,584,Ang Mo Kio Avenue 3,560584,584 ANG MO KIO AVE 3,9706.70239508675,1664.9763413635294
1.36386765,103.85527909308787,412,Ang Mo Kio Avenue 10,560412,412 ANG MO KIO AVE 10,8952.888298445703,1705.008929961153
1.3789645,103.8397194,,Ang Mo Kio Avenue 4,560629,612 ANG MO KIO AVE 4,10689.242337462836,649.8794958210204
1.370196,103.85901672502251,562,Ang Mo Kio Avenue 3,560562,562 ANG MO KIO AVE 3,9679.857619246255,2139.217202586497
1.3661227999999999,103.83798211624232,223,Ang Mo Kio Avenue 1,560223,223 ANG MO KIO AVE 1,9310.027946523827,1955.1210810319387
1.3767776999999999,103.84201139498651,150,Ang Mo Kio Avenue 5,569878,150 ANG MO KIO AVE 5,10420.855806435853,694.5294423373283
1.3649920999999998,103.85631541517873,468,Ang Mo Kio Avenue 10,560468,468 ANG MO KIO AVE 10,9083.431197852024,1741.7714926631886
1.3758152,103.83817218566463,177,Ang Mo Kio Avenue 4,560161,177 ANG MO KIO AVE 4,10366.496927505266,1015.0435362707118
1.3643885500000001,103.85387570262225,415,Ang Mo Kio Avenue 10,560415,415 ANG MO KIO AVE 10,9004.092196142099,1847.775660451092
1.3702192000000002,103.83469218767918,254,Ang Mo Kio Avenue 4,560254,254 ANG MO KIO AVE 4,9819.762462943394,1738.4859814961592
